phone,millisSinceGpsEpoch
2020-05-15-US-MTV-1_Pixel4,1273608785432
2020-05-15-US-MTV-1_Pixel4,1273608786432
2020-05-15-US-MTV-1_Pixel4,1273608787432
2020-05-15-US-MTV-1_Pixel4,1273608788432
2020-05-15-US-MTV-1_Pixel4,1273608789432
2020-05-15-US-MTV-1_Pixel4,1273608790432
2020-05-15-US-MTV-1_Pixel4,1273608791432
2020-05-15-US-MTV-1_Pixel4,1273608792432
2020-05-15-US-MTV-1_Pixel4,1273608793432
2020-05-15-US-MTV-1_Pixel4,1273608794432
2020-05-15-US-MTV-1_Pixel4,1273608795432
2020-05-15-US-MTV-1_Pixel4,1273608796432
2020-05-15-US-MTV-1_Pixel4,1273608797432
2020-05-15-US-MTV-1_Pixel4,1273608798432
2020-05-15-US-MTV-1_Pixel4,1273608799649
2020-05-15-US-MTV-1_Pixel4,1273608800641
2020-05-15-US-MTV-1_Pixel4,1273608801654
2020-05-15-US-MTV-1_Pixel4,1273608802649
2020-05-15-US-MTV-1_Pixel4,1273608803635
2020-05-15-US-MTV-1_Pixel4,1273608804648
2020-05-15-US-MTV-1_Pixel4,1273608805643
2020-05-15-US-MTV-1_Pixel4,1273608806654
2020-05-15-US-MTV-1_Pixel4,1273608807665
2020-05-15-US-MTV-1_Pixel4,1273608808659
2020-05-15-US-MTV-1_Pixel4,1273608809647
2020-05-15-US-MTV-1_Pixel4,1273608810662
2020-05-15-US-MTV-1_Pixel4,1273608811651
2020-05-15-US-MTV-1_Pixel4,1273608812664
2020-05-15-US-MTV-1_Pixel4,1273608813660
2020-05-15-US-MTV-1_Pixel4,1273608814647
2020-05-15-US-MTV-1_Pixel4,1273608815661
2020-05-15-US-MTV-1_Pixel4,1273608816655
2020-05-15-US-MTV-1_Pixel4,1273608817646
2020-05-15-US-MTV-1_Pixel4,1273608818659
2020-05-15-US-MTV-1_Pixel4,1273608819644
2020-05-15-US-MTV-1_Pixel4,1273608820663
2020-05-15-US-MTV-1_Pixel4,1273608821656
2020-05-15-US-MTV-1_Pixel4,1273608822666
2020-05-15-US-MTV-1_Pixel4,1273608823658
2020-05-15-US-MTV-1_Pixel4,1273608824648
2020-05-15-US-MTV-1_Pixel4,1273608825663
2020-05-15-US-MTV-1_Pixel4,1273608826655
2020-05-15-US-MTV-1_Pixel4,1273608827640
2020-05-15-US-MTV-1_Pixel4,1273608828659
2020-05-15-US-MTV-1_Pixel4,1273608829652
2020-05-15-US-MTV-1_Pixel4,1273608830666
2020-05-15-US-MTV-1_Pixel4,1273608831655
2020-05-15-US-MTV-1_Pixel4,1273608832666
2020-05-15-US-MTV-1_Pixel4,1273608833660
2020-05-15-US-MTV-1_Pixel4,1273608834644
2020-05-15-US-MTV-1_Pixel4,1273608835655
2020-05-15-US-MTV-1_Pixel4,1273608836652
2020-05-15-US-MTV-1_Pixel4,1273608837666
2020-05-15-US-MTV-1_Pixel4,1273608838660
2020-05-15-US-MTV-1_Pixel4,1273608839650
2020-05-15-US-MTV-1_Pixel4,1273608840645
2020-05-15-US-MTV-1_Pixel4,1273608841654
2020-05-15-US-MTV-1_Pixel4,1273608842664
2020-05-15-US-MTV-1_Pixel4,1273608843655
2020-05-15-US-MTV-1_Pixel4,1273608844650
2020-05-15-US-MTV-1_Pixel4,1273608845661
2020-05-15-US-MTV-1_Pixel4,1273608846656
2020-05-15-US-MTV-1_Pixel4,1273608847663
2020-05-15-US-MTV-1_Pixel4,1273608848659
2020-05-15-US-MTV-1_Pixel4,1273608849648
